st_fips,st_year,st_state,st_stateabb,st_total,st_dem,st_rep,st_repshare,st_demshare,st_income,st_inc10k
15,1980,Hawaii,HI,303,136,130,0.488721818,0.511278212,21788.91602,2.178891659
16,1980,Idaho,ID,437,110,291,0.725685775,0.274314225,16466.88281,1.646688223
17,1980,Illinois,IL,4750,1981,2358,0.543443203,0.456556797,20954.9082,2.095490932
18,1980,Indiana,IN,2242,844,1256,0.598095238,0.401904762,17849.2793,1.784927964
19,1980,Iowa,IA,1318,509,676,0.570464134,0.429535866,18251.04883,1.825104833
20,1980,Kansas,KS,980,326,567,0.634938419,0.365061581,18951.76758,1.895176768
21,1980,Kentucky,KY,1295,616,635,0.50759393,0.49240607,15571.94434,1.557194471
22,1980,Louisiana,LA,1549,708,793,0.528314471,0.471685529,16712.51563,1.671251535
23,1980,Maine,ME,523,221,239,0.519565225,0.480434775,15893.74121,1.589374065
24,1980,Maryland,MD,1540,726,681,0.484008521,0.515991449,21301.45898,2.130145788
25,1980,Massachusetts,MA,2524,1054,1058,0.500946999,0.499053031,20187.54492,2.018754482
26,1980,Michigan,MI,3910,1662,1915,0.535364807,0.464635164,19639.1582,1.963915825
27,1980,Minnesota,MN,2052,954,873,0.477832526,0.522167504,19528.71875,1.952871919
28,1980,Mississippi,MS,893,429,441,0.506896555,0.493103445,13342.21191,1.334221244
29,1980,Missouri,MO,2100,931,1074,0.535660863,0.464339167,17754.07227,1.775407195
30,1980,Montana,MT,364,118,207,0.636923075,0.363076925,17247.57422,1.724757433
31,1980,Nebraska,NE,641,167,420,0.71550256,0.28449744,17441.79492,1.744179487
32,1980,Nevada,NV,248,67,155,0.698198199,0.301801801,22278.27539,2.227827549
33,1980,New Hampshire,NH,384,109,222,0.670694888,0.329305142,18755.64258,1.875564218
34,1980,New Jersey,NJ,2976,1147,1547,0.574239075,0.425760955,22291.60547,2.229160547
35,1980,New Mexico,NM,457,168,251,0.599045336,0.400954664,15891.83691,1.589183688
36,1980,New York,NY,6202,2728,2894,0.514763415,0.485236585,20973.94922,2.097394943
37,1980,North Carolina,NC,1856,876,915,0.510887802,0.489112228,15604.31445,1.56043148
38,1980,North Dakota,ND,302,79,194,0.710622728,0.289377302,15055.92578,1.505592585
39,1980,Ohio,OH,4284,1752,2207,0.557464004,0.442535996,19128.85156,1.912885189
40,1980,Oklahoma,OK,1150,402,696,0.633879781,0.366120219,18100.62305,1.810062289
41,1980,Oregon,OR,1182,457,571,0.555447459,0.444552541,19256.42773,1.925642729
42,1980,Pennsylvania,PA,4562,1938,2262,0.538571417,0.461428583,19203.11328,1.920311332
44,1980,Rhode Island,RI,416,198,155,0.439093471,0.560906529,18426.22852,1.842622876
45,1980,South Carolina,SC,894,430,442,0.50688076,0.49311927,14743.64941,1.474364996
46,1980,South Dakota,SD,328,104,198,0.655629158,0.344370872,15372.01074,1.537201047
47,1980,Tennessee,TN,1618,783,788,0.501591325,0.498408645,15726.17773,1.572617769
48,1980,Texas,TX,4542,1881,2511,0.571721315,0.428278685,18812.76758,1.881276727
49,1980,Utah,UT,604,124,440,0.78014183,0.219858155,16186.97656,1.618697643
50,1980,Vermont,VT,213,82,95,0.536723137,0.463276833,16400.23828,1.640023828
51,1980,Virginia,VA,1866,752,990,0.568312287,0.431687713,19315.45508,1.931545496
53,1980,Washington,WA,1742,650,865,0.570957124,0.429042906,20625.49414,2.062549353
54,1980,West Virginia,WV,738,367,334,0.476462185,0.523537815,15457.69629,1.545769572
